代码	名称	涨幅	最新	涨跌	总额	委买价	委卖价	换手率	总市值	流通市值	昨收	今开	最高	最低
000656	*ST金科	-2.00%	1.47	-0.03	1.13亿	1.47	1.48	1.46%	78.49亿	76.75亿	1.50	1.49	1.50	1.47
000683	博源化工	-2.52%	6.95	-0.18	3.07亿	6.95	6.96	1.54%	276.38亿	196.88亿	7.13	7.07	7.16	6.92
000703	恒逸石化	0.00%	8.35	0.00	4.17亿	8.35	8.36	2.16%	192.70亿	189.85亿	8.35	8.44	8.75	8.31
000709	河钢股份	-3.00%	2.26	-0.07	2.42亿	2.25	2.26	1.00%	239.98亿	239.94亿	2.33	2.32	2.33	2.26
000728	国元证券	-1.43%	8.27	-0.12	2.03亿	8.27	8.28	0.83%	278.32亿	243.65亿	8.39	8.34	8.37	8.26
000729	燕京啤酒	-0.64%	12.36	-0.08	2.65亿	12.36	12.37	0.85%	348.37亿	310.17亿	12.44	12.40	12.49	12.25
000738	航发控制	-0.37%	19.01	-0.07	2.09亿	19.01	19.02	0.96%	217.79亿	217.79亿	19.08	18.92	19.18	18.91
000739	普洛药业	-1.42%	15.93	-0.23	9413.17万	15.93	15.94	0.51%	187.74亿	182.69亿	16.16	16.15	16.35	15.93
000750	国海证券	-1.40%	4.23	-0.06	1.92亿	4.22	4.23	1.07%	178.32亿	178.32亿	4.29	4.28	4.28	4.22
000778	新兴铸管	-2.44%	4.00	-0.10	1.90亿	4.00	4.01	1.20%	159.64亿	156.84亿	4.10	4.09	4.10	3.99
000783	长江证券	-1.45%	8.16	-0.12	5.69亿	8.15	8.16	1.26%	451.20亿	451.20亿	8.28	8.24	8.25	8.13
000785	居然智家	0.95%	3.20	0.03	5.45亿	3.19	3.20	68.49%	8.04亿	8.03亿	3.17	3.15	3.22	3.08
000807	云铝股份	-4.31%	27.09	-1.22	17.66亿	27.09	27.10	2.67%	706.19亿	658.19亿	28.31	27.77	27.99	26.72
000825	太钢不锈	-4.39%	4.36	-0.20	3.75亿	4.36	4.37	1.49%	248.36亿	248.35亿	4.56	4.51	4.54	4.35
000830	鲁西化工	-2.38%	14.78	-0.36	3.35亿	14.78	14.79	1.53%	216.51亿	216.38亿	15.14	15.12	15.31	14.75
000831	中国稀土	-0.72%	46.80	-0.34	9.13亿	46.79	46.80	1.99%	459.06亿	459.06亿	47.14	46.96	47.38	46.35
000869	张 裕Ａ	-0.96%	20.62	-0.20	1885.91万	20.62	20.65	0.20%	93.50亿	93.50亿	20.82	20.84	20.85	20.57
000878	云南铜业	-4.35%	17.80	-0.81	13.88亿	17.80	17.81	5.45%	252.12亿	252.12亿	18.61	18.31	18.35	17.69
000883	湖北能源	-0.87%	4.58	-0.04	7278.95万	4.58	4.59	0.30%	298.04亿	244.84亿	4.62	4.61	4.63	4.58
000887	中鼎股份	-0.73%	21.76	-0.16	5.28亿	21.76	21.77	1.98%	268.60亿	265.15亿	21.92	21.71	22.12	21.63
000898	鞍钢股份	-2.76%	2.47	-0.07	1.13亿	2.47	2.48	0.74%	151.88亿	151.88亿	2.54	2.54	2.55	2.47
000930	中粮科技	-1.19%	5.79	-0.07	5196.40万	5.79	5.80	0.93%	55.84亿	55.84亿	5.86	5.86	5.87	5.78
000932	华菱钢铁	-3.45%	5.32	-0.19	3.85亿	5.32	5.33	2.37%	160.43亿	160.42亿	5.51	5.50	5.51	5.30
000937	冀中能源	-2.59%	5.65	-0.15	1.71亿	5.65	5.66	1.04%	199.65亿	164.22亿	5.80	5.79	5.79	5.61
000959	首钢股份	-4.86%	4.31	-0.22	1.92亿	4.30	4.31	1.48%	227.97亿	127.86亿	4.53	4.51	4.52	4.30
000960	锡业股份	-5.46%	25.27	-1.46	13.16亿	25.26	25.27	3.66%	421.70亿	355.33亿	26.73	26.50	26.51	25.08
000967	盈峰环境	-1.02%	6.78	-0.07	1.08亿	6.77	6.78	1.45%	79.12亿	74.11亿	6.85	6.84	6.90	6.76
000970	中科三环	-2.67%	13.14	-0.36	3.13亿	13.13	13.14	2.23%	139.97亿	139.97亿	13.50	13.38	13.38	13.13
000975	山金国际	-1.55%	21.54	-0.34	8.10亿	21.54	21.55	3.04%	427.22亿	264.68亿	21.88	21.63	22.20	21.31
000987	越秀资本	-2.00%	7.36	-0.15	2.15亿	7.36	7.37	5.40%	202.61亿	39.62亿	7.51	7.46	7.48	7.36
000988	华工科技	0.98%	80.36	0.78	54.49亿	80.36	80.37	7.58%	808.02亿	716.10亿	79.58	79.93	81.99	79.60
000990	诚志股份	-0.92%	7.56	-0.07	6004.13万	7.56	7.57	2.04%	94.73亿	29.31亿	7.63	7.61	7.63	7.55
000997	新 大 陆	-1.54%	25.57	-0.40	2.37亿	25.56	25.57	0.92%	258.45亿	256.71亿	25.97	25.87	26.12	25.52
000998	隆平高科	-0.31%	9.52	-0.03	1.70亿	9.52	9.53	1.85%	119.59亿	91.89亿	9.55	9.55	9.55	9.43
000999	华润三九	-0.50%	28.01	-0.14	1.91亿	28.01	28.02	0.69%	274.19亿	274.05亿	28.15	28.13	28.20	28.00
001203	大中矿业	-4.15%	26.76	-1.16	11.05亿	26.76	26.78	3.10%	410.25亿	351.98亿	27.92	27.80	27.85	26.71
001227	兰州银行	-0.84%	2.35	-0.02	1.00亿	2.35	2.36	1.01%	133.85亿	99.01亿	2.37	2.36	2.37	2.35
001872	招商港口	-0.30%	19.68	-0.06	3833.10万	19.68	19.69	0.08%	453.02亿	453.02亿	19.74	19.72	19.80	19.65
001914	招商积余	-1.34%	11.08	-0.15	5639.44万	11.06	11.08	0.48%	116.75亿	116.75亿	11.23	11.21	11.25	11.00
002010	传化智联	-1.38%	5.71	-0.08	8173.71万	5.71	5.72	3.45%	186.02亿	23.57亿	5.79	5.78	5.79	5.71
